user_id,event,timestamp
user_0,signup,2025-01-07 00:00:00
user_0,onboarding_complete,2025-01-07 00:05:00
user_0,search,2025-01-07 00:10:00
user_0,view,2025-01-07 00:15:00
user_0,session,2025-01-10 00:00:00
user_0,session,2025-01-14 00:00:00
user_1,signup,2025-01-11 00:00:00
user_2,signup,2025-01-04 00:00:00
user_2,onboarding_complete,2025-01-04 00:05:00
user_2,session,2025-01-05 00:00:00
user_3,signup,2025-01-24 00:00:00
user_3,onboarding_complete,2025-01-24 00:05:00
user_3,search,2025-01-24 00:10:00
user_3,view,2025-01-24 00:15:00
user_3,transaction,2025-01-24 00:20:00
user_3,session,2025-01-25 00:00:00
user_3,session,2025-01-27 00:00:00
user_4,signup,2025-01-12 00:00:00
user_4,onboarding_complete,2025-01-12 00:05:00
user_4,search,2025-01-12 00:10:00
user_4,view,2025-01-12 00:15:00
user_4,transaction,2025-01-12 00:20:00
user_4,session,2025-01-13 00:00:00
user_4,session,2025-01-19 00:00:00
user_5,signup,2025-01-30 00:00:00
user_5,onboarding_complete,2025-01-30 00:05:00
user_5,search,2025-01-30 00:10:00
user_5,view,2025-01-30 00:15:00
user_5,session,2025-02-02 00:00:00
user_6,signup,2025-01-21 00:00:00
user_6,onboarding_complete,2025-01-21 00:05:00
user_6,search,2025-01-21 00:10:00
user_6,view,2025-01-21 00:15:00
user_6,session,2025-01-24 00:00:00
user_6,session,2025-01-28 00:00:00
user_7,signup,2025-01-02 00:00:00
user_7,onboarding_complete,2025-01-02 00:05:00
user_7,search,2025-01-02 00:10:00
user_7,view,2025-01-02 00:15:00
user_7,transaction,2025-01-02 00:20:00
user_7,session,2025-01-03 00:00:00
user_7,session,2025-01-05 00:00:00
user_8,signup,2025-01-04 00:00:00
user_8,onboarding_complete,2025-01-04 00:05:00
user_9,signup,2025-01-22 00:00:00
user_9,onboarding_complete,2025-01-22 00:05:00
user_9,search,2025-01-22 00:10:00
user_9,view,2025-01-22 00:15:00
user_10,signup,2025-01-14 00:00:00
user_10,onboarding_complete,2025-01-14 00:05:00
user_10,search,2025-01-14 00:10:00
user_10,view,2025-01-14 00:15:00
user_11,signup,2025-01-13 00:00:00
user_11,onboarding_complete,2025-01-13 00:05:00
user_12,signup,2025-01-28 00:00:00
user_12,onboarding_complete,2025-01-28 00:05:00
user_12,search,2025-01-28 00:10:00
user_12,view,2025-01-28 00:15:00
user_12,transaction,2025-01-28 00:20:00
user_12,session,2025-01-29 00:00:00
user_12,session,2025-01-31 00:00:00
user_12,session,2025-02-04 00:00:00
user_13,signup,2025-01-01 00:00:00
user_13,onboarding_complete,2025-01-01 00:05:00
user_13,search,2025-01-01 00:10:00
user_13,view,2025-01-01 00:15:00
user_14,signup,2025-01-05 00:00:00
user_15,signup,2025-01-26 00:00:00
user_15,onboarding_complete,2025-01-26 00:05:00
user_16,signup,2025-01-02 00:00:00
user_16,onboarding_complete,2025-01-02 00:05:00
user_16,search,2025-01-02 00:10:00
user_16,view,2025-01-02 00:15:00
user_16,session,2025-01-09 00:00:00
user_17,signup,2025-01-03 00:00:00
user_17,onboarding_complete,2025-01-03 00:05:00
user_17,search,2025-01-03 00:10:00
user_17,view,2025-01-03 00:15:00
user_18,signup,2025-01-07 00:00:00
user_18,onboarding_complete,2025-01-07 00:05:00
user_18,session,2025-01-08 00:00:00
user_19,signup,2025-01-28 00:00:00
user_19,onboarding_complete,2025-01-28 00:05:00
user_19,search,2025-01-28 00:10:00
user_19,view,2025-01-28 00:15:00
user_19,session,2025-01-29 00:00:00
user_20,signup,2025-01-23 00:00:00
user_20,onboarding_complete,2025-01-23 00:05:00
user_20,search,2025-01-23 00:10:00
user_20,view,2025-01-23 00:15:00
user_20,transaction,2025-01-23 00:20:00
user_21,signup,2025-01-28 00:00:00
user_22,signup,2025-01-13 00:00:00
user_22,onboarding_complete,2025-01-13 00:05:00
user_22,search,2025-01-13 00:10:00
user_22,view,2025-01-13 00:15:00
user_22,transaction,2025-01-13 00:20:00
user_22,session,2025-01-14 00:00:00
user_22,session,2025-01-16 00:00:00
user_23,signup,2025-01-26 00:00:00
user_23,onboarding_complete,2025-01-26 00:05:00
user_23,search,2025-01-26 00:10:00
user_23,view,2025-01-26 00:15:00
user_23,session,2025-01-27 00:00:00
user_23,session,2025-02-02 00:00:00
user_24,signup,2025-01-13 00:00:00
user_25,signup,2025-01-07 00:00:00
user_25,onboarding_complete,2025-01-07 00:05:00
user_25,search,2025-01-07 00:10:00
user_25,view,2025-01-07 00:15:00
user_25,transaction,2025-01-07 00:20:00
user_25,session,2025-01-10 00:00:00
user_25,session,2025-01-14 00:00:00
user_26,signup,2025-01-27 00:00:00
user_26,onboarding_complete,2025-01-27 00:05:00
user_26,search,2025-01-27 00:10:00
user_26,view,2025-01-27 00:15:00
user_26,session,2025-01-28 00:00:00
user_27,signup,2025-01-30 00:00:00
user_27,onboarding_complete,2025-01-30 00:05:00
user_27,session,2025-01-31 00:00:00
user_28,signup,2025-01-24 00:00:00
user_28,onboarding_complete,2025-01-24 00:05:00
user_29,signup,2025-01-22 00:00:00
user_29,onboarding_complete,2025-01-22 00:05:00
user_29,search,2025-01-22 00:10:00
user_29,view,2025-01-22 00:15:00
user_29,session,2025-01-29 00:00:00
user_30,signup,2025-01-06 00:00:00
user_30,onboarding_complete,2025-01-06 00:05:00
user_31,signup,2025-01-27 00:00:00
user_31,onboarding_complete,2025-01-27 00:05:00
user_32,signup,2025-01-02 00:00:00
user_32,onboarding_complete,2025-01-02 00:05:00
user_32,search,2025-01-02 00:10:00
user_32,view,2025-01-02 00:15:00
user_32,transaction,2025-01-02 00:20:00
user_32,session,2025-01-05 00:00:00
user_32,session,2025-01-09 00:00:00
user_33,signup,2025-01-29 00:00:00
user_34,signup,2025-01-28 00:00:00
user_34,onboarding_complete,2025-01-28 00:05:00
user_34,search,2025-01-28 00:10:00
user_34,view,2025-01-28 00:15:00
user_34,session,2025-01-29 00:00:00
user_34,session,2025-02-04 00:00:00
user_35,signup,2025-01-01 00:00:00
user_35,onboarding_complete,2025-01-01 00:05:00
user_35,search,2025-01-01 00:10:00
user_35,view,2025-01-01 00:15:00
user_35,session,2025-01-08 00:00:00
user_36,signup,2025-01-30 00:00:00
user_36,onboarding_complete,2025-01-30 00:05:00
